article_id,title,published_at,source,category_name,reporter_name,lead,body_content
5553851,"Profil Ade Paloh, Vokalis Band Sore yang Meninggal Dunia",2024-03-19 13:15:16,https://www.liputan6.com/regional/read/5553851/profil-ade-paloh-vokalis-band-sore-yang-meninggal-dunia,Regional,Natasa Kumalasah Putri,Vokalis band Sore Ade Paloh dikabarkan meninggal dunia pada Selasa (19/3/2024).,"Kabar duka datang dari dunia musik Indonesia yaitu dari vokalis band Sore, Firza Amar Paloh atau akrab disapa Ade Paloh. Sang vokalis dikabarkan meninggal dunia pada Selasa (19/3/2024) dan diumumkan langsung melalui media sosial resmi band Sore.  ""engkau akan hidup seribu tahun lagi, di hati kami, selamanya,"" tulis @sorezeband.  Melalui unggahan yang sama dikabarkan bahwa almarhum akan dimakamkan pada sore hari ini di TPU Pondok Ranggon. Pihak band Sore juga meminta keikhlasan doa terutama dari teman-teman dan penggemar band Sore.  ""Beliau akan dimakamkan sore ini, di TPU Pondok Ranggon. Kami mohon keikhlasan doa dari teman-teman,"" tuturnya.  Kabar duka Ade Paloh juga turut dibagikan oleh rekan-rekan dekatnya termasuk anggota dari band Sore. Salah satunya dikonfirmasi oleh manajer band Seringai Wendi Putranto yang mendapatkan kabar tersebut dari Awan Garnida pemain bass dan vokalis band Sore.  ""Innalilahi wainna ilaihi rojiun. Telah wafat dengan tenang karena sakit pada hari ini Firza Amar Paloh (Ade Paloh), vokalis dan pencipta lagu SORE,"" kata Wendi.  Saat ini belum ada informasi terkait penyakit apa yang menyebabkan Ade Paloh meninggal dunia."
5553346,"Dari Kecurigaan Suami, Kasus TPPO Terungkap di Apartemen Jaksel",2024-03-18 21:00:04,https://www.liputan6.com/news/read/5553346/dari-kecurigaan-suami-kasus-tppo-terungkap-di-apartemen-jaksel,News,Ady Anugrahadi,Satreskrim Polres Metro Jakarta Selatan membongkar kasus dugaan Tindak Pidana Perdagangan Orang (TPPO).,"Satreskrim Polres Metro Jakarta Selatan membongkar kasus dugaan Tindak Pidana Perdagangan Orang (TPPO).  Delapan orang wanita berhasil diselamatkan saat berada di sebuah apartemen kawasan Jaksel, yang dijadikan tempat penampungan.  Kasus ini terbongkar berkat kecurigaan suami salah satu korban. Dia menyampaikan keberatan ke Badan Perlindungan Pekerja Migran Indonesia (BP2MI) Provinsi Jawa Barat. Karena rencana penerbangan istrinya, IF yang tiba-tiba berubah haluan.  ""Setelah beberapa hari istrinya berangkat dari rumah, yakni di Jawa Barat di Kabupaten Garut, ternyata didapatkan informasi bahwa istrinya tidak jadi diberangkatkan ke Dubai melainkan akan dipekerjakan di Arab Saudi. Hal inilah yang menjadi keberatan suami, kemudian melapor kepada Kantor BP2MI Jawa Barat,"" kata Wakil Kasatreskrim Polres Jakarta Selatan, Kompol Henrikus Yossi kepada wartawan, Senin (18/3/2023).  Henrikus mengatakan, Badan Perlindungan Pekerja Migran Indonesia (BP2MI) Provinsi Jawa Barat kemudian meneruskan informasi ke Polres Metro Jaksel. Polisi menelusuri keberadaan IF, ternyata bersama ketujuh orang lain sedang ada di apartemen Kalibata.  Saat ditemukan, mereka saat itu serang menyiapkan dokumen-dokumen keberangkatan seperti visa, paspor, dan hasil medical check-up. Mereka rencananya diberangkat secara tidak prosedural ke Arab Saudi.  ""Namun kami berhasil menggagalkan rencana tersebut dan berhasil mengungkap bersama dengan rekan-rekan kami BP2MI,"" ujar dia."
5552961,"Apa Itu Selat Muria, Berikut Sejarah dan Penyebab Selat Itu Menghilang",2024-03-19 5:00:19,https://www.liputan6.com/regional/read/5552961/apa-itu-selat-muria-berikut-sejarah-dan-penyebab-selat-itu-menghilang,Regional,Natasa Kumalasah Putri,Baru-baru ini keberadaan Selat Muria kembali ramai dibahas publik. Berikut sejarah dan penyebab hilangnya Selat Muria.,"Selat Muria merupakan wilayah laut yang dahulunya pernah memisahkan daratan Jawa dengan Gunung Muria. Gunung tersebut merupakan gunung bertipe stratovolcano yang berada di pantai utara Jawa Tengah.  Dahulu Gunung Muria merupakan pulau hingga abad ke-17, wilayah perairannya berubah menjadi daratan karena endapan fluvio-marin. Daratan tersebut kini menjadi wilayah Kabupaten Kudus, Grobogan, Pati, dan Rembang.  Melalui laporan pada tahun 1657 menyebutkan, bahwa endapan fluvial dari sungai-sungai yang bermuara ke Selat Muria mengakibatkan pendangkalan. Diketahui sungai-sungai tersebut adalah Kali Serang, Sungai Tuntang, dan Sungai Lusi.  Ketika Selat Muria masih ada, jalurnya sering digunakan sebagai jalur transportasi dan tempat perdagangan yang ramai dilalui. Selat ini menghubungkan masyarakat Jawa Kuna dengan masyarakat pulau-pulau lain.  Melansir dari Merdeka, bukti Selat Muria pernah ada terbukti dengan adanya penemuan fosil hewan laut di Situs Purbakala Patiayam, Kudus. Selat ini juga pernah menjadikan kota Demak sebagai kota pelabuhan yang ramai.  Kawasan sekitar selat tersebut juga terdapat beberapa pelabuhan kecil, tetapi karena adanya konflik politik membuat komoditas yang berasal dari daerah sekitar Selat Muria beralih menuju ke Pelabuhan Sunda Kelapa.   Namun, karena adanya sedimentasi dan pendangkalan, wilayah tersebut perlahan berubah menjadi daratan sampai saat ini."
5553351,"Suara Hati Kiky Saputri Setelah Ikhlas Ovariumnya Diangkat Usai Keguguran, Berterima Kasih atas Doa dan Support yang Bertebaran",2024-03-18 21:00:00,https://www.liputan6.com/showbiz/read/5553351/suara-hati-kiky-saputri-setelah-ikhlas-ovariumnya-diangkat-usai-keguguran-berterima-kasih-atas-doa-dan-support-yang-bertebaran,ShowBiz,M Altaf Jauhar,"Kiky Saputri tak banyak berbicara saat ditanya mengenai kondisinya saat ini, usai keguguran.","Komika Kiky Saputri sampaikan kabar duka perihal kehamilannya. Ia mengalami keguguran saat kehamilannya berusia 10 pekan. Bukan hanya kehilangan calon anak, Kiky Saputri juga harus kehilangan satu ovariumnya.  Kiky Saputri tak banyak berbicara saat ditanya mengenai kondisinya saat ini. Ia hanya mengucapkan terima kasih atas doa dan dukungan kepada semua pihak atas segala hal yang baru saja dialaminya.  ""Alhamdulillah terima kasih doanya, support-nya. Maaf enggak bisa jawab satu persatu, karena dalam kondisi pemulihan di rumah sakit,"" ujar Kiky Saputri di Kawasan Tendean, Jakarta Selatan, Senin (18/3/2024).  ""Karena mental sudah siap semua, jadinya aku siap buat omongin (di Youtube),"" sambung Kiky Saputri."
5554400,"Profil Donny Kesuma, Sukses Persembahkan Emas SEA Games untuk Indonesia",2024-03-19 21:58:25,https://www.liputan6.com/bola/read/5554400/profil-donny-kesuma-sukses-persembahkan-emas-sea-games-untuk-indonesia,Bola,Harley Ikhsan,"Kabar duka datang dari dunia olahraga Indonesia. Salah satu mantan atlet berprestasi Donny Kesuma meninggal dunia, Senin (19/3/2024).","Kabar duka datang dari dunia olahraga Indonesia. Salah satu mantan atlet berprestasi Donny Kesuma meninggal dunia, Senin (19/3/2024).  Meski lebih dikenal di dunia hiburan, Donny Kesuma juga pernah mengharumkan bangsa di pentas internasional. Dia merupakan peraih medali emas SEA Games 1997 dari cabang olahraga sofball putra.  Setelah meninggalkan olahraga, Donny Kesuma banting setir dan menjadi salah satu aktor produktif di serial televisi. Donny Kesuma juga sempat menghiasi layar lebar melalui Love and Edelweiss hingga My Idiot Brother.  Ferry Maryadi melalui akun Instagram terverifikasinya mengumumkan kabar Donny Kesuma meninggal. Dalam unggahannya, Ferry mengunggah foto almarhum menggunakan kemeja berwarna oranye.  Suami Deswita Maharani ini menuliskan kalimat bernada kehilangan di unggahan foto almarhum. ""semoga husnul khotimah kangDon, pileuleuyan,"" tulis Ferry dalam unggahan foto tersebut.  ""pileuleuyan kangDon,"" sambung Ferry sebagai status teks unggahannya di akun Instagram."
5552439,VIDEO: Tanggul Sungai Jratun di Demak Jebol Saat Proses Perbaikan,2024-03-17 19:18:08,https://www.liputan6.com/news/read/5552439/video-tanggul-sungai-jratun-di-demak-jebol-saat-proses-perbaikan,News,"Reza Rinaldi, Gilang Fajar Septian","Tanggul Sungai Jratun di Desa Tugu Ngemplik, Kecamatan Karanganyar, Kabupaten Demak, Jawa Tengah, mendadak jebol saat dalam proses perbaikan, Sabtu (16/3/2024).","Tanggul Sungai Jratun di Desa Tugu Ngemplik, Kecamatan Karanganyar, Kabupaten Demak, Jawa Tengah, mendadak jebol saat dalam proses perbaikan, Sabtu (16/3/2024)."
5553642,Ucapan Aurel Bikin Anang Hermansyah Menangis: Selamat Ulang Tahun My Hero,2024-03-19 13:30:00,https://www.liputan6.com/showbiz/read/5553642/ucapan-aurel-bikin-anang-hermansyah-menangis-selamat-ulang-tahun-my-hero,ShowBiz,Zulfa Ayu Sundari,"Dalam unggahan Instagram Aurel Hermansyah, dia mengucapkan terima kasih kepada Anang.","Anang Hermansyah baru saja merayakan ulang tahun ke-55 pada Senin (18/3/2024). Di momen spesial ini tentu saja dia mendapat banyak ucapan selamat dan doa dari orang-orang yang dicintainya, termasuk sang putri sulung Aurel Hermansyah.  Dalam unggahan Instagram Aurel, dia mengucapkan terima kasih kepada Anang yang telah menjadi ayah yang baik untuk dirinya. Dia juga mendoakan kebaikan sang ayah tercinta.  ""Selamat ulang tahun, my hero, kakek @ananghijau Terima kasih sudah menjadi Ayah yg luar biasa, contoh yg baik utk anak2nya.. Semoga pipi sehat selalu,panjang umur ya pi.. dan selalu salam lindungan Allah.. We Love You Kakek,"" tulis Aurel Hermansyah.  Bersama keterangan itu, dia menyertakan video di masa lalu saat ayah dan anak ini sedang berduet di panggung. Ada pula video saat Aurel balita berada di pangkuan ayahnya. Waktu berlalu, istri Atta Halilintar  ini menyematkan video Anang yang menangis di prosesi pernikahan Aurel."
5552832,"4 Fakta Sophie Allouache, Pasangan Resmi Menlu Australia Penny Wong yang Menikah Usai Berhubungan 18 Tahun",2024-03-18 20:10:50,https://www.liputan6.com/global/read/5552832/4-fakta-sophie-allouache-pasangan-resmi-menlu-australia-penny-wong-yang-menikah-usai-berhubungan-18-tahun,Global,Benedikta Miranti T.V,"Menteri Luar Negeri Australia Penny Wong akhirnya meresmikan hubungannya dengan pasangan sesama jenisnya, Sophie Allouache dalam sebuah pesta di negara bagian asalnya, Australia Selatan.","Menteri Luar Negeri Australia Penny Wong akhirnya meresmikan hubungannya dengan pasangan sesama jenisnya, Sophie Allouache dalam sebuah pesta di negara bagian asalnya, Australia Selatan. Keduanya menikah di Kilang Anggur ""Bird in Hand"" di Adelaide Hills pada Sabtu (16/3/2024).  ""Kami sangat senang karena banyak keluarga dan teman kami dapat merayakan hari istimewa ini bersama kami,"" tulis Wong dalam akun Facebook dan Instagramnya.              View this post on Instagram    A post shared by Penny Wong (@senatorpennywong)      Wong tercatat sebagai anggota parlemen perempuan Australia pertama yang secara terbuka mengaku gay.  Adapun sejumlah media menyebut mereka berdua memang jarang mengumbar kebersamaan di depan umum meski sudah berhubungan selama kurang lebih 18 tahun.  Dilansir Daily Mail, Senin (18/3/2024), berikut adalah sejumlah fakta Sophie Allouache, pasangan resmi Menlu Australia Penny Wong:  1. Berusia tujuh tahun lebih muda dari Wong  Tidak diketahui secara jelas mengenai tanggal lahir Allouache. Namun jika Wong lahir pada tahun 1968 dan tahun ini berusia 55 tahun, ini artinya Allouache lahir pada tahun 1975 dan tahun ini berusia 49.  2. Berkuliah di University of Adelaide  Berdasarkan informasi dari laman Linkedin-nya, Allouache menempuh pendidikan di University of Adelaide, Australia, pada tahun 1994 hingga tahun 2000. Ia lulus dengan gelar Bachelor of Arts.  Ia juga merupakan mantan presiden Asosiasi Mahasiswa Universitas of Adelaide."
5552547,"Gerhana Sebagai Tanda Hari Akhir, Benarkah Pembuka Kiamat Terjadi pada Ramadhan? Kajian Hadis",2024-03-18 0:30:12,https://www.liputan6.com/islami/read/5552547/gerhana-sebagai-tanda-hari-akhir-benarkah-pembuka-kiamat-terjadi-pada-ramadhan-kajian-hadis,Islami,Muhamad Ridlo,"Gerhana merupakan salah satu tanda kiamat yang disebut Nabi SAW. Lantas, ada ramalan bahwa Jumat di pertengahan bulan Ramadhan merupakan pembuka kiamat, benarkah?","Bulan Ramadhan tahun ini diwarnai dengan peristiwa astronomi istimewa, yakni dua gerhana yang diprediksi akan terjadi pada waktu berdekatan. Pertama adalah gerhana bulan, dan yang kedua adalah gerhana matahari.  Dua gerhana yang diperkirakan terjadi di bulan Ramadhan 1445 H yaitu gerhana bulan penumbra pada 24-25 Maret 2024 dan gerhana matahari total (GMT) pada 8 April 2024.     Apabila dikonversikan ke kalender Hijriyah, maka gerhana bulan terjadi pada 13-14 Ramadhan 1445 Hijriyah sedangkan gerhana matahari pada 28 Ramadhan 1445 Hijriyah.  Namun, sebagaimana dikutip dari laman brin.go.id, fenomena astronomi ini tidak melintasi wilayah Indonesia.  Dalam Islam, fenomena gerhana bukan sekadar fenomena astronomi biasa. Gerhana merupakan bukti kekuasaan dan kebesaran Allah SWT. Peristiwa gerhana ini tidak terlepas dari kuasa-Nya.  Dalam perspektif Islam, gerhana juga menjadi salah satu tanda kiamat yang disebut Rasulullah SAW, termaktub dalam hadis yang berderajat sahih dan kerap menjadi rujukan utama.  Dalam hadis yang diriwayatkan Imam Muslim, Rasulullah SAW menyebutkan 10 tanda kiamat. Dari 10 tanda kiamat ini tiga di antaranya adalah munculnya gerhana yang terjadi di tiga tempat."
5552284,"Mengaku Siap Ganti Rugi, Ternyata Ini Profesi Pengemudi Xpander Tabrak Showroom Porschedi PIK",2024-03-17 13:21:20,https://www.liputan6.com/news/read/5552284/mengaku-siap-ganti-rugi-ternyata-ini-profesi-pengemudi-xpander-tabrak-showroom-porsche-di-pik,News,"Muhammad Ali, Tim News","Kerugian yang diperkirakan ditanggung JS akibat kecerobohannya menabrak showroom dan merusak mobil sport porsche, ditaksir mencapai Rp5,7 miliar.","Sosok pengemudi Xpander berinisial JS (42) yang menabrak showroom mewah Ivan's motor sampai merusak mobil Porsche hingga ringsek, mengaku siap mengganti rugi atas kejadian tersebut. Menurut keterangan kepada polisi, tersangka tersebut ternyata berprofesi sebagai wiraswasta.   ""Kalau latar belakang saya belum tahu, kalau identitas inisialnya JS. Bukan (pegawai swasta), (tapi) dia ngakunya wiraswasta,"" kata Kapolsek Teluk Naga AKP Wahyu Hidayat saat dikonfirmasi, Minggu (17/3/2024).  Namun demikian, Wahyu mengaku jika penyidik belum mendapatkan informasi lebih lanjut soal latar belakangnya, termasuk soal usaha yang dimiliki JS bergerak dibidang apa.  ""Nah saya enggak tahu wiraswastanya apa. Dia bilang wiraswasta aja,"" tuturnya.  Walaupun begitu, Wahyu mengatakan JS yang telah ditetapkan tersangka dalam kasus ini sempat menyatakan siap mengganti kerugian yang dialami showroom Ivan's motor.  ""Pengakuannya dia pengen ganti rugi, 'saya siap ganti rugi' itu aja omongannya. Itu setelah kita amankan. 'Saya bakalan ganti rugi nanti' gitu ngomong nya,"" kata Wahyu.  Sementara dari pihak pemilik showroom Ivan's motor menyatakan sampai saat ini tetap ingin melanjutkan kasus ini ke proses hukum. Sehingga, JS pun telah ditetapkan tersangka akibat insiden itu.  ""Dari pihak korban, ingin prosesnya dilanjut, begitu,"" ujarnya.  Sedangkan untuk kerugian yang diperkirakan ditanggung JS akibat kecerobohannya menabrak showroom dan merusak mobil sport porsche, ditaksir mencapai Rp 5,7 miliar.  ""Kerugian kurang lebih Rp 5,7 miliar. (jumlah kerugian) keseluruhan kalau kata manajernya,"" kata Wahyu."
5554441,"Top 3 Islami: Tanda Kiamat Makin Dekat Tampak di Samudra Pasifik, Gerhana di Bulan Ramadhan dan Mitosnya",2024-03-20 6:30:23,https://www.liputan6.com/islami/read/5554441/top-3-islami-tanda-kiamat-makin-dekat-tampak-di-samudra-pasifik-gerhana-di-bulan-ramadhan-dan-mitosnya,Islami,Muhamad Ridlo,Sekelompok ilmuwan membuktikan bahwa pemanasan global sudah berdampak signifikan di Samudra Pasifik dan menunjukkan tanda kiamat makin dekat,"Kiamat masih menjadi isu yang menarik. Terlebih, ketika sains mampu membuktikan bahwa dalil-dalil yang berisi kejadian maupun tanda-tanda kiamat nyata adanya.  Salah satunya, ketika sekelompok ilmuwan membuktikan bahwa pemanasan global sudah berdampak signifikan di SamudraPasifik dan menunjukkan tanda kiamat makin dekat. Ukuran ikan di samudra nan luas ini menyusut karena kerusakan alam yang begitu massif.     Sementara, dalam Islam, pemanasan global, anomali iklim, hingga kerusakan alam akibat ulah manusia merupakan salah satu di antara tanda kiamat.  Ulasan mengenai pembuktian sains di Samudra Pasifik ini menjadi salah satu dari tiga artikel terpopuler di kanal Islami Liputan6.com, Selasa (19/3/2024).  Artikel kedua terpopuler yaitu tentang spekulasi yang muncul karena fenomena gerhana di Bulan Ramadhan. Sementara, artikel ketiga yang juga menyita perhatian publik adalah mitos seputar gerhana yang ternyata tidak ada dalam Islam.  Selengkapnya mari simak Top 3 Islami."
5554719,"Catatan Medis Kate Middleton Diduga Dicuri dari Rumah Sakit, 1 Staf Diperiksa",2024-03-20 13:00:00,https://www.liputan6.com/lifestyle/read/5554719/catatan-medis-kate-middleton-diduga-dicuri-dari-rumah-sakit-1-staf-diperiksa,Lifestyle,Dinny Mutiah,Kabar dugaan pencurian catatan medis Kate Middleton itu beredar setelah ia terlihat berbelanja bersama Pangeran William di sekitar Istana Windsor.,"Kasus pelanggaran keamanan dilaporkan terjadi di rumah sakit swasta tempat Putri Wales menjalani operasi perut pada Januari 2024. Proses investigasi dilakukan di The London Clinic dengan menyebutkan setidaknya satu staf mencoba mencuri catatan medis Kate Middleton.  Mengutip Hello Magazine, Rabu (20/3/2024), orang dalam rumah sakit mengatakan pada The Mirror, ""Ini adalah pelanggaran keamanan besar dan sangat merugikan rumah sakit, mengingat reputasinya yang tidak bercela dalam merawat anggota keluarga kerajaan.""  Media tersebut juga melaporkan bahwa pimpinan senior rumah sakit telah menghubungi Istana Kensington segera setelah insiden tersebut jadi perhatian mereka dan meyakinkan pihak istana akan ada penyelidikan penuh. Seluruh staf medis sangat terkejut dan putus asa atas tuduhan tersebut dan sangat terluka karena rekan mereka yang terpercaya diduga bertanggung jawab atas pelanggaran kepercayaan dan etika.  Sebagai tanggapan, juru bicara Istana Kensington mengatakan, ""Ini adalah masalah The London Clinic.""  Kate dirawat selama 13 hari di rumah sakit swasta itu menyusul operasi perutnya pada 16 Januari 2024. Hingga kini, detail kondisi kesehatan Kate tidak pernah disampaikan ke publik, tapi pihak istana menekankan bahwa penyakitnya tidak berhubungan dengan kanker. Mereka juga meminta informasi tersebut tetap privat.  Di rumah sakit tersebut, Raja Charles menjalani perawatan pembengkakan kelenjar prostat pada hari yang sama. Keduanya keluar dari rumah sakit pada 29 Januari 2024 dari pintu berbeda."
5552300,"Hati-Hati Salah Kaprah Umur Ban, Kode Tahun Produksi DOT Bukan untuk Konsumen",2024-03-18 4:04:04,https://www.liputan6.com/otomotif/read/5552300/hati-hati-salah-kaprah-umur-ban-kode-tahun-produksi-dot-bukan-untuk-konsumen,Otomotif,Khizbulloh Huda,Empat digit kode DOT tahun produksi di side wall ban bukan alat ukur utama umur ban.,"Di bagian side wall ban, terdapat kode tahun produksi di paling kanan bidang DOT (Department of Transportation). Namun, kode produksi ban tersebut bukan diperuntukkan kepada konsumen layaknya tanggal kadaluarsa, melainkan untuk produsen.  Salah kaprah terkait umur ban di masyarakat Indonesia memang kerap menjadi momok bagi pembeli ban. Banyak orang di Indonesia salah mengira umur ban dinilai dari kode tersebut, menganggap ban produksi baru lebih baik.  Kode produksi ban memang menunjukkan tahun produksi dengan empat digit angka: dua digit menunjukkan minggu produksi, dan dua angka terakhir dari tahun produksi.  Namun, hal itu tidak ditujukan sebagai indikator akhir masa pakai ban. Satu-satunya indikator yang menentukan masa akhir pakai ban adalah tingkat keausan ban, bukan sekadar dari informasi kode tahun produksi ban.  ""Banyak sekali informasi di luar sana 5 tahun harus ganti ban, 2 tahun harus ganti. Baik bagi kami (perusahaan ban) kalau tiap 2 tahun ganti. Tapi kami ingin memberikan peace of mind kepada customer,"" jelas Mochammad Fachrul Rozi, Customer Engineering Support PT Michelin Indonesia untuk tidak membuat pelanggan cepat khawatir pada ban miliknya.  Mengenai kode produksi ban di bidang DOT, pria yang akrab disapa Bang Rozi tersebut menjelaskan bahwa berdasarkan hasil uji internal Michelin, tidak ada perbedaan performa antara ban yang baru diproduksi dengan ban yang berumur tiga tahun.  ""Dari hasil tes yang kami lakukan, ban yang dibuat hari ini baru keluar dari pabrik, sore dipakai buat tes, dengan ban yang dibuat 3 tahun lalu itu datanya sama. Pengeremannya identik, kondisi basah dan kering sama, handling tidak berubah,"" jelas Rozi.  ""Ban dipakai tidak mengacu pada DOT tadi. Ban dipakai itu mengacunya dari ketika pertama kali ban itu dipasang di pelek, diisi angin, buat jalan, itu baru umur ban,"" tambah Rozi menjelaskan terkait 'umur ban'."
5554125,Apa Itu Kista Ovarium seperti Kiky Saputri Alami? Kenali Gejala dan Jenisnya,2024-03-19 16:30:34,https://www.liputan6.com/health/read/5554125/apa-itu-kista-ovarium-seperti-kiky-saputri-alami-kenali-gejala-dan-jenisnya,Health,Benedikta Desideria,Kista ovarium adalah struktur yang tumbuh sepanjang ovarium atau indung telur yang bentuknya seperti balon atau bola yang isinya cairan.,"Komika dan selebritas Kiky Saputri tengah berduka lantaran janin yang dikandungnya tidak bisa bertahan. Kehadiran kista membuat janin Kiky jadi tidak berkembang. Kondisi itu membuat Kiky keguguran saat usia janin 10 minggu.  Sebenarnya, kehadiran kista sudah Kiky ketahui tak lama usai menikah. Sebelum tahu hamil sebenarnya Kiky ingin mengobati kista tersebut. Namun, Tuhan memberikan Kiky kehamilan.  Seiring berjalannya waktu, janin komika 30 tahun itu sempat berkembang tapi kista yang ada di ovariumnya juga berkembang.  ""Seiring berjalannya waktu, janin berkembang, maka kista juga berkembang. Ternyata menekan ke area dinding rahimnya, kistanya membesar, saat aku keguguran itu dia udah 4,6 cm,"" kata Kiky dalam unggahan di Youtube pribadinya.  Tak cuma keguguran, Kiky pun harus mendapatkan kenyataan pahit bahwa usai kuretase, kista di ovarium kiri makin berkembang sampai menyelimuti bagian tersebut. Dokter pun terpaksa mengangkat ovarium kiri Kiky demi keselamatan nyawa istri Muhammad Khairi tersebut.  ""Jadi, kami harus kehilangan anak dan aku kehilangan juga ovarium kiri,"" kata Kiky.  Apa Itu Kista Ovarium?  Kista merupakan istilah yang kerap kita dengar sehari-hari. Kista adalah istilah untuk struktur yang tidak normal pada tubuh berbentuk kantung berisi cairan.  ""Jadi, kista ovarium adalah struktur yang tumbuh sepanjang ovarium atau indung telur yang bentuknya seperti balon atau bola yang isinya cairan. Di dalam kista bisa saja ada ruangan seperti sekat,"" kata dokter spesialis obstetri dan ginekolog konsultan onkologi ginekologi Hariyono Winarto dalam video yang diunggah di Youtube RSCM ditulis Selasa, 19 Maret 2024."
5553478,Kiamat Makin Dekat Ternyata Bisa Dilihat dari Penampakan Ikan di Samudra Pasifik,2024-03-19 9:30:07,https://www.liputan6.com/islami/read/5553478/kiamat-makin-dekat-ternyata-bisa-dilihat-dari-penampakan-ikan-di-samudra-pasifik,Islami,Liputan6.com,"Dampak perubahan cuaca bukan hanya berimbas pada keadaan mahluk hidup yang berada di daratan saja, melainkan juga makhluk hidup yang berada di laut. Salah satunya ialah ikan yang hidup di laut.","Dampak perubahan cuaca bukan hanya berimbas pada keadaan mahluk hidup yang berada di daratan saja, melainkan juga makhluk hidup yang berada di laut. Salah satunya ialah ikan yang hidup di laut.     Melansir CNBC Indonesia, penampakan ini terlihat di Samudra Pasifik bagian utara. Dalam sebuah riset yang dilakukan Universitas Tokyo ditemukan sejumlah ikan mengalami penurunan massa badan dalam periode 40 tahun.  Selama 1978-2018, tercatat dua kali fenomena ini terjadi. Salah satunya terjadi pada tahun 1980. Saat tu, lonjakan ikan sarden di Jepang melonjak tajam dan bersaing mendapatkan makanan.  Ini membuat spesies ikan lain tidak bisa makan lebih banyak. Pada akhirnya membuat pertumbuhan tiap ikan tersebut terhambat.Beralih empat puluh tahun kemudian atau 2010 ukuran ikan juga mengecil. Kali ini penyebabnya adalah karena ""kiamat"" perubahan iklim, dikutip Next Shark via CNBC Indonesia, Senin (19/03/2024)."
5553975,"Info Pusat, Gus Iqdam: Doa Paling Ampuh dan Mustajabah saat Puasa, Jangan Terlewat",2024-03-20 2:00:11,https://www.liputan6.com/islami/read/5553975/info-pusat-gus-iqdam-doa-paling-ampuh-dan-mustajabah-saat-puasa-jangan-terlewat,Islami,Liputan6.com,"Pendiri Majelis Ta'lim Sabilu Taubah Gus Iqdam ungkap 3 doa mustajabah, apa saja?","Pendakwah muda sekaligus Pendiri Majelis Ta'lim Sabilu Taubah Gus Iqdam dalam salah satu kesempatan menyebutkan ada doa yang sangat ampuh atau mustajabah. Sedikitnya ada tiga doa yang mustajabah.  Terlebih, kini adalah bulan Ramadhan, di mana amal dan ibadah akan diganjar pahala dan keutamaan berlipat. Ramadan juga menjadi kesempatan muslim untuk memanjatkan doa terbaik dan istimewa.   Doa dalam Islam memiliki peran penting dalam kehidupan sehari-hari umat Muslim, sebagai sarana untuk berkomunikasi dengan Allah SWT, memohon pertolongan, bimbingan, dan rahmat-Nya.     Di dalam Al-Qur'an dan Hadis, banyak doa-doa yang diajarkan oleh Nabi Muhammad SAW yang menjadi pedoman bagi umat Islam. Doa-doa ini memiliki beragam tujuan, mulai dari memohon ampunan, perlindungan, keselamatan, hingga keberkahan dalam kehidupan sehari-hari.  Doa juga digunakan sebagai sarana untuk memohon perlindungan dari segala macam bahaya dan fitnah. Misalnya, doa sebelum tidur yang berisi permohonan agar Allah menjauhkan dari gangguan setan dan mimpi buruk serta memohon agar Allah memberikan perlindungan kepada diri dan keluarga.  Doa-doa semacam ini memperkuat iman dan kepercayaan umat Muslim bahwa hanya Allah yang memiliki kekuatan untuk melindungi mereka dari segala bahaya."
5555076,"6 Potret Nia Ramadhani dan Mikhayla di Acara Bukber Keluarga Besar Bakrie, Menawan",2024-03-20 17:05:44,https://www.liputan6.com/hot/read/5555076/6-potret-nia-ramadhani-dan-mikhayla-di-acara-bukber-keluarga-besar-bakrie-menawan,Hot,Arini Nuranisa,Nia Ramadhani dan Mikhayla menghadiri acara buka puasa bersama bareng keluarga besar Bakrie yang diadakan pada Selasa (19/3).,"Nia Ramadhani dan Mikhayla terlihat menghadiri acara buka puasa bersama yang digelar oleh keluarga besar Bakrie. Acara buka puasa keluarga besar Bakrie Group itu digelar di JS Luwansa Hotel & Convention pada Selasa (19/3/2024).  Penampilan Nia dan Mikhayla pun tak lepas dari sorotan. Kecantikan keduanya mencuri perhatian. Apalagi Mikhayla yang kini tumbuh menjadi gadis berparas jelita seperti sang bunda. Sudah beranjak remaja, pemilik nama Mikhayla Zalindra Bakrie itu semakin disorot publik.  Putri sulung dari pasangan Nia Ramadhani dan Ardi Bakrie itu tampil menawan memakai gamis senada dengan sang bunda. Nia menunjukkan momen keberangkatannya naik mobil bersama suami dan putri sulungnya. Ibu dan anak itu juga sempat memamerkan foto selfie berdua dalam mobil.  Ardi Bakrie juga ikut mengabadikan momen bersama anak perempuannya itu. Ia terlihat menemani sang putri makan. Mikhayla pun tampak makan dengan lahapnya. Tak hanya itu, Ardi juga memamerkan Mikha yang sedang menunjukkan kemampuan rap-nya.  Berikut ini telah dirangkum Liputan6.com dari berbagai sumber, 6 potret momen Nia Ramadhani dan Mikhayla hadiri acara buka puasa bersama keluarga besar Bakrie, Rabu (20/3/2024)."
